,count,mean,std,min,25%,50%,75%,max,median,iqr,skewness,kurtosis
Car_Count,2976.0,68.69657258064517,45.85069303853971,6.0,19.0,64.0,107.0,180.0,64.0,88.0,0.295435726202098,-1.1607583929442284
Bike_Count,2976.0,14.91733870967742,12.847517699260049,0.0,5.0,12.0,22.0,70.0,12.0,17.0,1.3174772320273564,2.291322679810483
Bus_Count,2976.0,15.279569892473118,14.341986288715438,0.0,1.0,12.0,25.0,50.0,12.0,24.0,0.7180885541840821,-0.6042295859722535
Truck_Count,2976.0,15.324932795698924,10.603832983646145,0.0,6.0,14.0,23.0,40.0,14.0,17.0,0.39828274802317265,-0.8859554793667339
Total_Vehicles,2976.0,114.21841397849462,60.19062723572424,21.0,55.0,109.0,164.0,279.0,109.0,109.0,0.3049930415806705,-1.0256165920159157
PCU_Score,2976.0,167.96875,70.1063312302921,34.5,111.875,160.0,226.5,339.0,160.0,114.625,0.18209551332599988,-0.9931921182870576
Congestion_Index,2976.0,0.9999462365591397,0.41740438099831684,0.21,0.6675,0.95,1.35,2.02,0.95,0.6825000000000001,0.18217888994358505,-0.9936777955138725
